post_created_date,reach,Genre.1,Emotions.1,caption,permalink,likes,comments,shares,saved,total_interactions
16-Mar-2026,13721.0,Sports,Happiness,"""Junior 360"" is officially loading! 🏏👶 The internet is melting over Surya and Devisha’s baby shower video. While the captain preps for the IPL, he’s got a much more important ""delivery"" coming up this summer.
📸 Credit: suryakumaryadav_fc_0

Read more from OneIndia and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#SuryakumarYadav #DevishaShetty #sports #babyshower",https://www.instagram.com/p/DV71SwBEzxk/,190.0,0.0,7.0,6.0,203.0
12-Mar-2026,11754.0,Entertainment,Controversy,"When Rashmika Mandanna's mother revealed how actress's ex wanted her to quit films: 'It's good they broke up.'
📸 Credit: Hindustan Times

Read more from news24online and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#RashmikaMandanna #VijayDeverakonda #ViRashWedding #BollywoodGossip #entertainment",https://www.instagram.com/p/DVyUDtoEqVC/,88.0,1.0,9.0,14.0,115.0
30-Mar-2026,11266.0,Off-beat,Surprise +VE,"If you thought protein shakes were the height of fitness innovation, think again, as the internet has been introduced to something completely unexpected. Indian fitness brand Beast Life surprised everyone on a Sunday by announcing what it called the “world’s first protein condom,” a move that left social media both amused and confused, with reactions pouring in and laughter spreading across platforms.
📸 Credit: NDTV

Read more from NDTV Swirlster and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#GauravTaneja #condom #proteincondom #BeastLife #Offbeat",https://www.instagram.com/p/DWf_r2ljLOM/,42.0,1.0,890.0,23.0,956.0
8-Mar-2026,10969.0,Entertainment,Shock -VE,"YouTuber and Bigg Boss 17 contestant Anurag Dobhal, widely known as UK07 Rider, was injured after his car crashed into a divider while he was livestreaming on Instagram, according to authorities. Dobhal had recently alleged mental harassment from family members over his inter-caste marriage and during the livestream suggested it could be his “last video.” Following the high-speed crash during the live broadcast, the popular content creator was admitted to the Intensive Care Unit (ICU).
📸 Credit: The Indian Express

Read more from The Indian Express and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#AnuragDobhal #UK07Rider #BiggBoss17 #entertainment",https://www.instagram.com/p/DVnR2RekhdW/,81.0,0.0,8.0,4.0,93.0
16-Mar-2026,10595.0,Entertainment,Controversy,"Social media personality Chandrika Dixit, popularly known as the “Vada Pav Girl” and remembered for her stint on Bigg Boss OTT, has sparked widespread controversy after a video clip of her remarks went viral online. In the clip, Dixit speaks about financial hardships and the difficulties of raising a child, and appears to suggest that she might consider accepting money for intimate favours if it meant supporting a child. The statement quickly drew sharp reactions and intense debate on social media after the video began circulating widely across platforms.
📸 Credit: NewsX

Read more from NewsX English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#VadaPavGirl #ChandrikaDixit #BiggBossOTT #viral #entertainment",https://www.instagram.com/p/DV7kvBZj0UI/,50.0,2.0,13.0,12.0,78.0
9-Mar-2026,10490.0,Off-beat,Shock -VE,"A video showing a small fish inside a sealed beer bottle has gone viral, raising consumer safety concerns. The incident reportedly occurred in Hyderabad’s Mallapur area, where a man claimed he found the fish after buying the bottle from a local liquor shop. When he complained, the shop staff reportedly said the responsibility lies with the manufacturer.
📸 Credit: Republic TV

Read more from Republic TV English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Kingfisher #beer #KingfisherBeer #BeerBottle #offbeat",https://www.instagram.com/p/DVp9pp8CER4/,115.0,4.0,541.0,8.0,671.0
6-Mar-2026,10342.0,Entertainment,Controversy,"Days after actor Vijay's wife Sangeetha filed a petition for divorce against him in Chennai, Vijay and actress Trisha Kannan were seen twinning in a beige outfit at the wedding reception of AGS producer Kalpathi Suresh's son. Vijay and Trisha arrived at the event together. While Vijay carried a flower bouquet, Trisha was seen hugging and shaking hands with the guests at the event.
 ðŸ“¸ Credit: NewsX
 
 Read more from NewsX English and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #Entertainment #News #ActorVijayLaunchesPoliticalParty",https://www.instagram.com/p/DViWvlcDJxa/,77.0,0.0,4.0,2.0,84.0
6-Apr-2026,8291.0,Off-beat,Shock -VE,"Rumours of “Trump dead” spread rapidly after the White House said he wouldn’t appear in public for the rest of the day, triggering online speculation about his health. Unverified claims of medical checks and hospital visits surfaced, but officials denied any emergency, calling it routine, as misinformation continued to fuel panic across social media.
📸 Credit: Timesnow

Read more from Asianet News English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#TrumpNews #Iranwar #FakeNews #USPolitics #intother",https://www.instagram.com/p/DWxnTiFCC8p/,58.0,3.0,42.0,3.0,106.0
25-Mar-2026,8265.0,Entertainment,Controversy,"The video everyone is talking about just got a response. Samuthirakani reveals the context behind his words on Vijay and Trisha, proving his deep respect for the stars.
📸 Credit: Google Images

Read more from Cinemaexpress English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Samuthirakani #ThalapathyVijay #Trisha #entertainment",https://www.instagram.com/p/DWTMnFfDnGG/,38.0,0.0,2.0,8.0,50.0
22-Mar-2026,8183.0,Sports,Motivation,"Anaya Bangar has shared that she has undergone gender-affirming surgery in Thailand. She posted an update on social media, reflecting on the emotional journey and the support from her family. “This journey wasn’t easy not just for me, but for my family too. Understanding, accepting, and standing by me took time. It wasn’t instant. There were moments of confusion, questions, and growth for all of us. But today, standing here, I’m filled with nothing but gratitude. To have my father beside me through one of the most important moments of my life means everything. His support didn’t come overnight but when it did, it was real, unconditional, and strong. This surgery was a big step for me, but having him with me made it feel possible. Growth takes time. Love takes time. But when it comes, it’s worth everything. Grateful. Always,” Anaya wrote in the caption, highlighting the shared struggles and gradual acceptance her family experienced.
📸 Credit: FPJ

Read more from The Free Press Journal and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#AnayaBangar #SanjayBangar #LGBTQIndia #TransJourney #sports",https://www.instagram.com/p/DWLh2APFwRM/,37.0,0.0,13.0,4.0,55.0
9-Mar-2026,7994.0,Current-Affairs,Shock -VE,"A woman in Bihar, observing her Ramzan fast, was subjected to the most inhumane torture imaginable before she died. We cannot stay silent. Read the full, tragic report.
📸 Credit: AI Generated

Read more from The Siasat Daily English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#BiharHorror #JusticeForBiharWoman #ShockingCrime #Ramzan2026 #current",https://www.instagram.com/p/DVqE-gxDRJz/,94.0,6.0,37.0,14.0,154.0
2-Apr-2026,7824.0,Off-beat,Heartwarming,"In a deeply moving incident, an elderly woman known for feeding monkeys regularly was mourned in an unexpected way after her passing. The woman reportedly died of a heart attack, and as her body was brought home, a monkey arrived at the scene and sat beside her. Witnesses said the animal appeared calm yet visibly attached, even hugging her in what many described as a final goodbye. The rare and emotional moment left onlookers stunned, with several locals gathering to witness the scene.

Read more from News Karnataka and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#MonkeyLove #Humanity #IncredibleIndia #Kindness #offbeat",https://www.instagram.com/p/DWoczc2jggH/,107.0,0.0,6.0,4.0,117.0
24-Mar-2026,7670.0,Current-Affairs,Breaking News,"As the Middle East conflict continues, Prime Minister Narendra Modi on Monday urged citizens to remain alert and prepared, drawing parallels to the unity shown during the COVID-19 pandemic. Speaking in the Lok Sabha, he said the global impact of the ongoing West Asia crisis is likely to persist for a long time, and stressed the need to stay united, patient, and resilient to face the challenges ahead.
📸 Credit: India.com

Read more from TimesNow English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#PMModi #NarendraModi #IndiaNews #MiddleEastCrisis #current",https://www.instagram.com/p/DWQY8ZvAh-d/,164.0,4.0,277.0,18.0,466.0
6-Mar-2026,6800.0,Entertainment,Sadness,"YouTuber UK07 Rider, aka Anurag Dobhal, posted a tearful 2-hour â€œlast vlogâ€, alleging mental torture by his family over his inter-caste marriage. In the emotional video, the Bigg Boss 17 contestant also revealed a past suicide attempt, leaving fans deeply concerned.
 ðŸ“¸ Credit: News18
 
 Read more from ET now and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #AnuragDobhal #UK07Rider #BiggBoss17 #YouTubeNews #entertainment",https://www.instagram.com/p/DVjMSYqjrNZ/,64.0,0.0,6.0,3.0,73.0
14-Mar-2026,6681.0,Entertainment,Shock -VE,"Tanushree Dutta exposed the dark side of the showbiz industry, alleging severe exploitation that leaves some actors mentally broken, forcing a few into wrong professions while others quit and return home. She said she spoke out to warn newcomers and hopes her words can save lives and prevent wrong choices.
 ðŸ“¸ Credit: NDTV
 
 Read more from BollywoodLife English and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #TanushreeDutta #bollywood #ShowbizTruth #BollywoodNews #Entertainment",https://www.instagram.com/p/DV3UKxZk8W2/,39.0,0.0,10.0,10.0,59.0
5-Apr-2026,6510.0,Entertainment,Fear/Concern,"Janhvi Kapoor revealed a disturbing teenage incident where she found a morphed image of herself on a porn site during school IT class. Speaking out, she highlights the dangers of deepfakes and online misuse, as AI-generated visuals of her still circulate today, raising serious concerns about consent, privacy, and digital safety.
📸 Credit: Indian express

Read more from DNP India and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#DigitalSafety #DeepfakeAwareness #OnlineAbuse #ConsentMatters #entertainment",https://www.instagram.com/p/DWvqqvBiFO7/,41.0,0.0,9.0,11.0,62.0
28-Mar-2026,6052.0,Crime,Shock -VE,"A man in Maharashtra’s Sangli district allegedly hung his daughters, aged 10 and 11, upside down overnight over theft suspicion. The younger girl died, while the elder survived, leading to the father’s arrest and a police investigation.
📸 Credit: AI

Read more from News18 English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#SangliHorror #StopChildAbuse #ChildSafety #news #crime",https://www.instagram.com/p/DWbMIoojSjn/,47.0,1.0,60.0,4.0,112.0
17-Mar-2026,5839.0,Entertainment,Shock -VE,"Actor and social media personality Jannat Zubair Rahmani, 24, and her brother Ayaan Zubair Rahmani, 18, were allegedly assaulted and chased on a highway in a shocking incident that took place in broad daylight, her team confirmed on social media. In a statement shared via Instagram, her team said, ""Hi all. We would like to update everyone that Jannat and Ayaan faced a distressing experience involving physical assault and a brazen chase incident on the highway during broad daylight yesterday. Currently, the investigation is ongoing, with the police authorities looking into the matter."" The team further informed, ""Jannat and Ayaan are safe now. We truly appreciate your concern and are thankful for the constant support.""
📸 Credit: DNA

Read more from DNA and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#JannatZubair #AyaanZubair #HighwayHorror #FanAlert #entertainment",https://www.instagram.com/p/DV_EmvgDzmI/,48.0,0.0,7.0,6.0,61.0
12-Mar-2026,5773.0,Crime,Shock -VE,"The mysterious parcel reportedly arrived at the airport's post office and contained rotten tomatoes, a flower garland, pieces of iron and toothpaste, besides the obscene photos. The items were reportedly arranged together in a manner resembling ritualistic practices, which alarmed airport staff. Some staff members reportedly feared that the items could be linked to black magic rituals meant to cause mental distress to airport officials.
Following the discovery, the airport authorities filed a complaint at the Kempegowda International Airport police station.
📸 Credit: AI-generated

Read more from News18 English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#BengaluruAirport #MysteryParcel #BlackMagic #Bizarre #crime",https://www.instagram.com/p/DVyGevuCd4c/,26.0,0.0,6.0,4.0,36.0
23-Mar-2026,5604.0,Entertainment,Controversy,"Actor Ranveer Singh's film Dhurandhar: The Revenge has landed in controversy after members of the Sikh community raised strong objections over a viral poster linked to the film. According to the complaint, the poster shows a character dressed in traditional Sikh attire, including a turban, while smoking a cigarette. The organisation argued that such a depiction goes against Sikh religious principles and disrespects the community, as well as Guru Gobind Singh.
📸 Credit: NDTV

Read more from NDTV Movies and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Dhurandhar2 #RanveerSingh #SikhIdentity #BollywoodControversy #entertainment",https://www.instagram.com/p/DWOZQF9goNN/,43.0,1.0,2.0,3.0,49.0
7-Mar-2026,5601.0,Entertainment,Controversy,"Ram Gopal Varma is at it again! 🎬 After facing heat for his take on Kiara Advani, the director claims he was actually praising her ""screen presence."" Was it a compliment or just plain weird?
📸 Credit: Bollywood Hungama via Instagram

Read more from Hindustan Times and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#RamGopalVarma #KiaraAdvani #War2 #BollywoodControversy #entertainment",https://www.instagram.com/p/DVktlp1ja1c/,25.0,0.0,0.0,13.0,39.0
9-Mar-2026,5592.0,Entertainment,Controversy,"Age is just a number, but this chemistry is a 10/10! 🔥 Malaika Arora was spotted getting cozy with Splitsvilla X6 star Sorab Bedi at her new spot, Sweeney. Is this just a dance or something more?
📸 Credit: FilmiBeat
Read more from FilmiBeat and other top sources
Get the full perspective from India's top voices on #DailyHunt.
#MalaikaArora #SorabBedi #SplitsvillaX6 #Bollywood #entertainment",https://www.instagram.com/p/DVp5msbgUe7/,23.0,0.0,6.0,0.0,29.0
24-Mar-2026,5563.0,Crime,Anger,"A retired Merchant Navy officer turned self-styled astrologer, Ashok Kharat—known as “Captain”—is at the centre of a serious criminal probe in Nashik, Maharashtra. Once seen as a well-connected spiritual advisor among politicians and businessmen, the 67-year-old now faces allegations including repeated sexual assault, black magic practices, and manipulation of followers.
📸 Credit: NewsX

Read more from News18 English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Nashik #Astrologer #BlackMagic #Shocking #Arrested #Investigation #Justice #LawAndOrder #crime",https://www.instagram.com/p/DWQI6J5gjlk/,23.0,2.0,22.0,4.0,51.0
31-Mar-2026,5560.0,Entertainment,Controversy,"The 'Nasha' actress is back in the headlines once again. This time for a completely different reason. Poonam Pandey has caused a stir on the internet with her latest pictures flaunting a visible baby bump, leaving fans in shock. The alleged pregnancy and viral baby bump photos have quickly become the talk of the internet. While some fans were left puzzled, questioning details like the father, others have been suspecting that something is off. What can it be?

Read more from FilmiBeat and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#PoonamPandey #pregnancy #viralpics #RealOrFake #entertainment",https://www.instagram.com/p/DWjVrxOFgmc/,11.0,0.0,0.0,2.0,13.0
19-Mar-2026,5514.0,Off-beat,Anger,"Rajkumar from UP’s Bulandshahr claims he let his wife go with her lover after finding “cement aur drum” posts, nude photos, and alleged threats on her phone. Fearing for his life, he approached police as the marriage ended during mediation.
📸 Credit: NDTV

Read more from NDTV and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#UttarPradesh #CrimeNews #cheating #bluedrum #offbeat",https://www.instagram.com/p/DWEdYFiArom/,28.0,1.0,11.0,3.0,43.0
1-Apr-2026,5388.0,Crime,Shock -VE,"A dispute over a minor issue turned horrific in Maharashtra’s Vasai near Mumbai when a man allegedly attacked a four-year-old boy in an act of revenge after arguing with his father. The incident, captured on CCTV inside a housing society, shows the child, identified as Vignesh, sitting in a parked auto-rickshaw and playing with other children when the accused, Sandeep Pawar, approached, dragged him out by his legs, and brutally assaulted him by smashing his head against an iron rod.

Read more from NDTV and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Maharashtra #Vasai #MumbaiNews #Crime",https://www.instagram.com/p/DWlRLCeF_Vt/,33.0,1.0,15.0,10.0,59.0
27-Mar-2026,5319.0,Entertainment,Controversy,"During the preliminary round held on Wednesday, Kamolwan, representing Pathum Thani, was in the middle of introducing herself when her veneers unexpectedly slipped mid-speech. Instead of panicking, she stayed composed and continued speaking, earning applause from the live audience. What stood out was her ability to recover seamlessly. She completed her walk, struck a confident final pose in her evening gown and even flashed a smile, turning a potentially awkward situation into a moment of resilience.

Read more from The Free Press Journal and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#MissGrandThailand #ViralVideo #BeautyPageant #BeautyContest #entertainment",https://www.instagram.com/p/DWY19eLjmNe/,14.0,0.0,0.0,1.0,15.0
13-Mar-2026,5284.0,Politics,Controversy,"In affidavits filed before the Supreme Court, the Centre cited expert committee reports to defend banning transgender persons, men who have sex with men (MSM), and female sex workers (FSW) from donating blood, arguing that these exclusions are not discriminatory but are essential safeguards designed to protect the integrity of the blood supply from Transfusion-Transmitted Infections (TTIs), such as HIV and Hepatitis.
 ðŸ“¸ Credit: AI
 
 Read more from The Print and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #Blooddonation #LGBTQ #news #trending #politics",https://www.instagram.com/p/DV0ut4IDgdp/,25.0,0.0,9.0,1.0,37.0
2-Apr-2026,5243.0,Current-Affairs,Fear/Concern,"A Crisis in the Making! 📉🧴 India's ₹8,000 crore condom industry is under massive pressure as the West Asia conflict chokes the supply of ammonia and silicone oil. With production costs jumping by nearly 50%, industry giants like Mankind Pharma and HLL Lifecare are sounding the alarm. Experts fear this ""raw material shock"" could lead to a massive retail price hike, impacting public health and family planning nationwide.
Read more from and other top sources on #dailyhunt
Get the full perspective from India's top voices

#CondomShortage #IndiaNews #Business #WestAsiaConflict #publichealth",https://www.instagram.com/p/DWnuluCAc4O/,17.0,0.0,36.0,5.0,59.0
25-Mar-2026,5097.0,Current-Affairs,Fear/Concern,"Eyewitnesses reported that the man appeared unresponsive, staring blankly in one direction with a bidi in his mouth, showing no awareness of his surroundings. Police soon arrived at the scene and took the delivery worker away for medical evaluation. The incident has reignited conversations around the pressures faced by delivery workers in India's fast-growing gig economy. Experts have previously highlighted that extreme fatigue, dehydration, substance use, or underlying medical conditions can sometimes lead to such unusual behaviour.

Read more from The Free Press Journal and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Blinkit #ZombieDrug #MedicalEmergency #ChandigarhNews #current",https://www.instagram.com/p/DWT2TgIDtub/,34.0,1.0,70.0,6.0,112.0
24-Mar-2026,5061.0,Crime,Shock -VE,"A monkey in Maharashtra’s Thane district was found with an arrow pierced through its neck and exiting near its jaw, marking the second such disturbing attack in the area within just four days and raising serious concerns among animal welfare groups and forest officials. The injured bonnet macaque was first spotted by local residents, after which the Wildlife Welfare Association (WWA), Thane, along with the Yeoor Range Forest Department, swiftly reached the spot and safely rescued the animal within 10–15 minutes; it has since been shifted to an ICU facility where veterinary specialists are closely monitoring its condition and providing treatment.
📸 Credit: AI

Read more from NDTV and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#Maharashtra #Thane #AnimalCruelty #MonkeyAttack #WildlifeRescue #crime",https://www.instagram.com/p/DWQjObliLcs/,28.0,0.0,9.0,3.0,41.0
13-Mar-2026,4754.0,Entertainment,Happiness,"The duo that saved the romance genre is BACK! ðŸ’– Ahaan Panday and Aneet Padda just dropped a teaser for their next project, and the ""Ahneet"" fans are losing it. ""Trailer coming soon.""
 ðŸ“¸ Credit: Aneet Padda via Instagram
 
 Read more from News18 English and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #AhaanPanday #AneetPadda #entertainment #bollywood",https://www.instagram.com/p/DV0MG-ADTLr/,196.0,0.0,5.0,14.0,218.0
14-Mar-2026,4714.0,Entertainment,Sadness,"Playback singer Sunidhi Chauhan became emotional during her Lucknow concert after revealing she was battling a severe throat issue while performing. Despite the pain, she apologised to fans and continued the show, earning loud cheers and praise for her dedication as videos from the moment quickly went viral online.
 ðŸ“¸ Credit: Mint
 
 Read more from Mint English and other top sources on #dailyhunt
 
 Get the full perspective from India's top voices 
 
 #SunidhiChauhan #LucknowConcert #LiveMusic #ViralVideo #entertainment",https://www.instagram.com/p/DV2gTjjjItu/,36.0,0.0,9.0,0.0,45.0
7-Mar-2026,4694.0,Off-beat,Curiosity,"A matchmaker revealed she banned a 28-year-old client after the woman and her family rejected several matches, insisting on a same-caste groom earning ₹1 crore despite her ₹11 LPA salary. The viral story has sparked debate online over unrealistic expectations in arranged marriages.
📸 Credit: AI-Generated

Read more from NDTV and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#ArrangedMarriage #ViralStory #Matchmaking #India #offbeat",https://www.instagram.com/p/DVl03b2DpqJ/,52.0,4.0,7.0,6.0,69.0
17-Mar-2026,4635.0,Entertainment,Controversy,"Nora Fatehi appears alongside Sanjay Dutt in the song Sarke Chunar Teri Sarke from the Kannada film KD: The Devil, which has received mixed reactions online. While some praised Nora’s dance performance, many criticised the track for allegedly vulgar lyrics, suggestive choreography, and double entendre. Set in a dance bar, the video features Nora performing with backup dancers, but after the full lyrical release, the focus shifted to the song’s wording, sparking widespread backlash on social media.
📸 Credit: Asianet

Read more from Asianet News English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#NoraFatehi #SanjayDutt #KDTheDevil #SarkeChunarTeriSarke #entertainment",https://www.instagram.com/p/DV-6P0aGG4U/,31.0,1.0,11.0,3.0,46.0
1-Apr-2026,4626.0,Sports,Curiosity,"A recent café sighting of Siraj and Mahira has sparked fresh dating rumours. While they were not spotted together, their simultaneous presence set social media buzzing. Though the rumours remain unconfirmed, curiosity around Siraj and Mahira is only growing. Whether it's a coincidence or something more, fans are following every update!
📸 Credit: Latestly

Read more from Latestly and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#MohammedSiraj #MahiraSharma #DatingRumors #CricketGossip #sports",https://www.instagram.com/p/DWks8Y2iPqm/,70.0,0.0,5.0,2.0,77.0
28-Mar-2026,4391.0,Current-Affairs,Controversy,"The accused, Amita Singh Tomar, was arrested on Thursday in connection with alleged irregularities in the 2021 flood relief distribution in Baroda tehsil. After being produced in court, she was sent to jail in neighbouring Shivpuri. The case involves the alleged diversion of around Rs.2.5 crore in flood relief funds into fake bank accounts for embezzlement. Superintendent of Police Sudhir Kumar Agarwal said that Tomar had been absent from duty, following which police tracked her down and arrested her. Tomar had previously come into the national spotlight after winning Rs.50 lakh on the popular quiz show Kaun Banega Crorepati, hosted by Amitabh Bachchan.
📸 Credit: Webdunia

Read more from Webdunia English and other top sources on #dailyhunt

Get the full perspective from India's top voices 

#KaunBanegaCrorepati #AmritaSingh #TehsildarArrested #Corruption #current",https://www.instagram.com/p/DWa4E-GjlvL/,27.0,0.0,8.0,2.0,37.0
